,ocid,Level_00,Level_01,Level_02,Level_03,Level_04,Level_05,Level_06
1005,ocds-591adf-5851624654,3,3.1,3.1.6,3.1.6.0,3.1.6.0,3.1.6.0,3.1.6.0
1006,ocds-591adf-2018725841,7,7.0,7.0,7.0,7.0,7.0,7.0
1007,ocds-591adf-2666101950,7,7.0,7.0,7.0,7.0,7.0,7.0
1008,ocds-591adf-6543179654,0,0.0,0.0.2,0.0.2,0.0.2,0.0.2,0.0.2
1009,ocds-591adf-0648943319,0,0.3,0.3.2,0.3.2.1,0.3.2.1,0.3.2.1,0.3.2.1
1010,ocds-591adf-0240741237,0,0.5,0.5.2,0.5.2,0.5.2,0.5.2,0.5.2
1011,ocds-591adf-7159952315,3,3.0,3.0.0,3.0.0.0,3.0.0.0.1,3.0.0.0.1.1,3.0.0.0.1.1
1012,ocds-591adf-2947803650,0,0.3,0.3.2,0.3.2.0,0.3.2.0.1,0.3.2.0.1,0.3.2.0.1
1013,ocds-591adf-4616542302,0,0.0,0.0.0,0.0.0.0,0.0.0.0.0,0.0.0.0.0.0,0.0.0.0.0.0
1014,ocds-591adf-8449657549,3,3.0,3.0.2,3.0.2.2,3.0.2.2,3.0.2.2,3.0.2.2
1015,ocds-591adf-4002079239,0,0.0,0.0.2,0.0.2,0.0.2,0.0.2,0.0.2
1016,ocds-591adf-2623317081,0,0.0,0.0.2,0.0.2,0.0.2,0.0.2,0.0.2
1017,ocds-591adf-1045801310,0,0.5,0.5.0,0.5.0.2,0.5.0.2,0.5.0.2,0.5.0.2
1018,ocds-591adf-7451096540,0,0.0,0.0.3,0.0.3.0,0.0.3.0,0.0.3.0,0.0.3.0
1019,ocds-591adf-1440947345,0,0.0,0.0.0,0.0.0.0,0.0.0.0.2,0.0.0.0.2.0,0.0.0.0.2.0
1020,ocds-591adf-0213607157,0,0.2,0.2.2,0.2.2.1,0.2.2.1,0.2.2.1,0.2.2.1
1021,ocds-591adf-4847279287,0,0.2,0.2.2,0.2.2.1,0.2.2.1,0.2.2.1,0.2.2.1
1022,ocds-591adf-8606020946,1,1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0
1023,ocds-591adf-0593665649,0,0.0,0.0.4,0.0.4.0,0.0.4.0.0,0.0.4.0.0,0.0.4.0.0
1024,ocds-591adf-5231394526,0,0.0,0.0.4,0.0.4.0,0.0.4.0.0,0.0.4.0.0,0.0.4.0.0
1025,ocds-591adf-2549975919,0,0.0,0.0.0,0.0.0.0,0.0.0.0.1,0.0.0.0.1.1,0.0.0.0.1.1
1026,ocds-591adf-7590925822,1,1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0
1027,ocds-591adf-1548046121,1,1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0
1028,ocds-591adf-8549514639,,,,,,,
1029,ocds-591adf-1658238869,2,2.1,2.1.0,2.1.0.0,2.1.0.0,2.1.0.0,2.1.0.0
1030,ocds-591adf-9975874698,,,,,,,
1031,ocds-591adf-5792510988,2,2.1,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1
1032,ocds-591adf-9194346883,2,2.0,2.0.2,2.0.2.0,2.0.2.0,2.0.2.0,2.0.2.0
1033,ocds-591adf-5920713915,2,2.2,2.2.0,2.2.0.2,2.2.0.2,2.2.0.2,2.2.0.2
1034,ocds-591adf-2917943809,2,2.1,2.1.0,2.1.0.2,2.1.0.2.0,2.1.0.2.0,2.1.0.2.0
1035,ocds-591adf-0431745646,2,2.0,2.0.1,2.0.1,2.0.1,2.0.1,2.0.1
1036,ocds-591adf-5502782183,2,2.2,2.2.4,2.2.4,2.2.4,2.2.4,2.2.4
1037,ocds-591adf-4621402481,2,2.0,2.0.1,2.0.1,2.0.1,2.0.1,2.0.1
1038,ocds-591adf-7705086445,2,2.2,2.2.0,2.2.0.3,2.2.0.3.1,2.2.0.3.1,2.2.0.3.1
1039,ocds-591adf-1394673190,2,2.1,2.1.0,2.1.0.0,2.1.0.0,2.1.0.0,2.1.0.0
1040,ocds-591adf-0633880291,2,2.2,2.2.0,2.2.0.0,2.2.0.0,2.2.0.0,2.2.0.0
1041,ocds-591adf-4013712466,2,2.1,2.1.0,2.1.0.0,2.1.0.0,2.1.0.0,2.1.0.0
1042,ocds-591adf-8757641437,2,2.1,2.1.0,2.1.0.0,2.1.0.0,2.1.0.0,2.1.0.0
1043,ocds-591adf-8808867910,2,2.2,2.2.3,2.2.3,2.2.3,2.2.3,2.2.3
1044,ocds-591adf-9119482338,2,2.0,2.0.2,2.0.2.0,2.0.2.0,2.0.2.0,2.0.2.0
1045,ocds-591adf-5185619420,2,2.2,2.2.0,2.2.0.0,2.2.0.0,2.2.0.0,2.2.0.0
1046,ocds-591adf-2181723079,2,2.0,2.0.0,2.0.0,2.0.0,2.0.0,2.0.0
1047,ocds-591adf-4659660417,2,2.2,2.2.0,2.2.0.2,2.2.0.2,2.2.0.2,2.2.0.2
1048,ocds-591adf-1314860465,2,2.0,2.0.2,2.0.2.0,2.0.2.0,2.0.2.0,2.0.2.0
1049,ocds-591adf-1333562032,2,2.0,2.0.3,2.0.3,2.0.3,2.0.3,2.0.3
1050,ocds-591adf-1265870384,2,2.0,2.0.2,2.0.2.1,2.0.2.1,2.0.2.1,2.0.2.1
1051,ocds-591adf-3741414378,2,2.2,2.2.0,2.2.0.3,2.2.0.3.0,2.2.0.3.0,2.2.0.3.0
1052,ocds-591adf-3060927282,0,0.0,0.0.4,0.0.4.1,0.0.4.1.1,0.0.4.1.1,0.0.4.1.1
1053,ocds-591adf-6802401911,4,4.0,4.0.2,4.0.2.0,4.0.2.0,4.0.2.0,4.0.2.0
1054,ocds-591adf-0620475055,4,4.0,4.0.2,4.0.2.1,4.0.2.1,4.0.2.1,4.0.2.1
1055,ocds-591adf-3332230439,3,3.4,3.4.1,3.4.1.1,3.4.1.1,3.4.1.1,3.4.1.1
1056,ocds-591adf-0588923601,4,4.0,4.0.2,4.0.2.1,4.0.2.1,4.0.2.1,4.0.2.1
1057,ocds-591adf-4340639228,3,3.4,3.4.0,3.4.0.1,3.4.0.1,3.4.0.1,3.4.0.1
1058,ocds-591adf-1240639543,0,0.5,0.5.1,0.5.1,0.5.1,0.5.1,0.5.1
1059,ocds-591adf-6264516286,0,0.0,0.0.0,0.0.0.0,0.0.0.0.1,0.0.0.0.1.1,0.0.0.0.1.1
1060,ocds-591adf-3838178041,0,0.6,0.6.3,0.6.3,0.6.3,0.6.3,0.6.3
1061,ocds-591adf-2656241484,0,0.6,0.6.3,0.6.3,0.6.3,0.6.3,0.6.3
1062,ocds-591adf-3922793692,0,0.4,0.4.0,0.4.0.1,0.4.0.1,0.4.0.1,0.4.0.1
1063,ocds-591adf-1661389950,0,0.4,0.4.0,0.4.0.1,0.4.0.1,0.4.0.1,0.4.0.1
1064,ocds-591adf-8033884916,3,3.1,3.1.0,3.1.0.3,3.1.0.3,3.1.0.3,3.1.0.3
1065,ocds-591adf-9016560520,3,3.1,3.1.0,3.1.0.3,3.1.0.3,3.1.0.3,3.1.0.3
1066,ocds-591adf-5003575897,3,3.1,3.1.1,3.1.1.1,3.1.1.1.0,3.1.1.1.0,3.1.1.1.0
1067,ocds-591adf-0014595575,0,0.2,0.2.4,0.2.4.0,0.2.4.0,0.2.4.0,0.2.4.0
1068,ocds-591adf-2590553572,0,0.2,0.2.3,0.2.3.0,0.2.3.0,0.2.3.0,0.2.3.0
1069,ocds-591adf-9845812582,0,0.0,0.0.0,0.0.0.0,0.0.0.0.1,0.0.0.0.1.2,0.0.0.0.1.2
1070,ocds-591adf-9582550876,0,0.5,0.5.0,0.5.0.1,0.5.0.1,0.5.0.1,0.5.0.1
1071,ocds-591adf-8885391601,0,0.5,0.5.0,0.5.0.1,0.5.0.1,0.5.0.1,0.5.0.1
1072,ocds-591adf-8615583226,0,0.5,0.5.0,0.5.0.0,0.5.0.0,0.5.0.0,0.5.0.0
1073,ocds-591adf-4818516752,0,0.5,0.5.3,0.5.3,0.5.3,0.5.3,0.5.3
1074,ocds-591adf-2931082215,0,0.5,0.5.3,0.5.3,0.5.3,0.5.3,0.5.3
1075,ocds-591adf-9686067103,0,0.0,0.0.7,0.0.7.4,0.0.7.4,0.0.7.4,0.0.7.4
1076,ocds-591adf-3613857557,0,0.5,0.5.3,0.5.3,0.5.3,0.5.3,0.5.3
1077,ocds-591adf-1966792682,5,5.0,5.0,5.0,5.0,5.0,5.0
1078,ocds-591adf-8156065501,5,5.3,5.3,5.3,5.3,5.3,5.3
1079,ocds-591adf-5298783412,0,0.0,0.0.8,0.0.8.1,0.0.8.1,0.0.8.1,0.0.8.1
1080,ocds-591adf-0332165904,5,5.0,5.0,5.0,5.0,5.0,5.0
1081,ocds-591adf-0663604054,5,5.3,5.3,5.3,5.3,5.3,5.3
1082,ocds-591adf-2703407408,0,0.0,0.0.7,0.0.7.1,0.0.7.1,0.0.7.1,0.0.7.1
1083,ocds-591adf-5523624675,0,0.0,0.0.7,0.0.7.1,0.0.7.1,0.0.7.1,0.0.7.1
1084,ocds-591adf-0304280379,0,0.2,0.2.6,0.2.6.1,0.2.6.1,0.2.6.1,0.2.6.1
1085,ocds-591adf-7492095230,0,0.2,0.2.6,0.2.6.1,0.2.6.1,0.2.6.1,0.2.6.1
1086,ocds-591adf-8204510927,0,0.0,0.0.0,0.0.0.2,0.0.0.2.1,0.0.0.2.1,0.0.0.2.1
1087,ocds-591adf-3948563141,0,0.3,0.3.4,0.3.4.0,0.3.4.0.0,0.3.4.0.0,0.3.4.0.0
1088,ocds-591adf-0806975065,0,0.6,0.6.1,0.6.1,0.6.1,0.6.1,0.6.1
1089,ocds-591adf-6716589315,0,0.2,0.2.1,0.2.1.0,0.2.1.0,0.2.1.0,0.2.1.0
1090,ocds-591adf-1212784561,0,0.2,0.2.6,0.2.6.0,0.2.6.0,0.2.6.0,0.2.6.0
1091,ocds-591adf-0174649252,6,6,6,6,6,6,6
1092,ocds-591adf-5731033659,6,6,6,6,6,6,6
1093,ocds-591adf-3791594481,6,6,6,6,6,6,6
1094,ocds-591adf-2623185299,6,6,6,6,6,6,6
1095,ocds-591adf-4516518284,0,0.0,0.0.8,0.0.8.1,0.0.8.1,0.0.8.1,0.0.8.1
1096,ocds-591adf-2878207711,3,3.5,3.5.1,3.5.1.1,3.5.1.1,3.5.1.1,3.5.1.1
1097,ocds-591adf-4691685152,3,3.1,3.1.1,3.1.1.2,3.1.1.2.0,3.1.1.2.0,3.1.1.2.0
1098,ocds-591adf-4096682799,3,3.5,3.5.1,3.5.1.1,3.5.1.1,3.5.1.1,3.5.1.1
1099,ocds-591adf-8755928578,5,5.2,5.2,5.2,5.2,5.2,5.2
1100,ocds-591adf-3900695508,0,0.0,0.0.4,0.0.4.0,0.0.4.0.0,0.0.4.0.0,0.0.4.0.0
1101,ocds-591adf-1600391941,3,3.4,3.4.2,3.4.2,3.4.2,3.4.2,3.4.2
